90,Label,Environment - EN,Norm - EN,Demographic features - EN,scope - EN,Age - EN,Gender - EN,Religion - EN,Ethnicity - EN,Family status - EN,Family role - EN,Educational roles - EN,Social status - EN,Age - FA,Gender - FA,Religion - FA,Ethnicity - FA,Family status - FA,Family role - FA,Educational roles - FA,Social status - FA,Demographic features - FA,Norm - FA,Environment - FA
283,Expected,Division of inheritance,Receiving a larger inheritance share than women,male; son,Specific,,male,,,,son,,,,مرد,,,,فرزند پسر,,,مرد; فرزند پسر,دریافت سهم ارث بیشتر از زنان,تقسیم میراث
284,Taboo,Division of inheritance,Receiving a larger inheritance share that men,female; daughter,Specific,,female,,,,daughter,,,,زن,,,,فرزند دختر,,,زن; فرزند دختر,دریافت سهم ارث بیشتر از مردان,تقسیم میراث
285,Expected,Educational centers,Learning new skills,,General,,,,,,,,,,,,,,,,,,آموختن فنون جدید,مراکز آموزشی
286,Expected,Educational centers,Maintaining chastity and modesty,,General,,,,,,,,,,,,,,,,,,حفظ پاکدامنی و عفاف,مراکز آموزشی
287,Normal,Educational centers,Teaching women's empowerment,female,General,,female,,,,,,,,زن,,,,,,,زن,آموزش توانمندسازی زنان,مراکز آموزشی
288,Normal,Educational centers,Teaching women's empowerment,male,General,,male,,,,,,,,مرد,,,,,,,مرد,آموزش توانمندسازی زنان,مراکز آموزشی
289,Expected,Educational centers,Valuing science and knowledge,,General,,,,,,,,,,,,,,,,,,ارزش گذاری به علم و دانش,مراکز آموزشی
290,Expected,Elderly home,Caring for elderly/providing proper services,,General,,,,,,,,,,,,,,,,,,مراقبت از سالمندان و ارائه خدمات مناسب,خانه سالمندان
291,Expected,Emergency situation,Cooperating with emergency/security forces,,General,,,,,,,,,,,,,,,,,,همکاری با نیروهای امدادی و امنیتی,شرایط اضطراری
292,Expected,Emergency situation,Having a humanitarian spirit,,General,,,,,,,,,,,,,,,,,,داشتن روحیه نوعدوستی,شرایط اضطراری
293,Expected,Entrepreneurship training centers,Teaching entrepreneurship and job creation,,General,,,,,,,,,,,,,,,,,,آموزش کارآفرینی و اشتغال‌زایی,مراکز آموزش کارآفرینی
294,Normal,Factory,Establishing fair labor contracts between workers and employers,,General,,,,,,,,,,,,,,,,,,عقد قراردادهای کاری عادلانه بین کارگران و کارفرمایان,کارخانه
295,Normal,Factory,Organizing labor strikes and gatherings for workers' rights by workers,,General,,,,,,,,,,,,,,,,,,سازماندهی اعتصابات و تجمعات کارگری برای حقوق کارگران توسط کارگران,کارخانه
296,Normal,Factory,Respecting the environment and preventing pollution,,Specific,,,,,,,,,,,,,,,,,,احترام به محیط زیست و جلوگیری از آلودگی,کارخانه
297,Normal,Factory,Respecting workers' rights by employers,,General,,,,,,,,,,,,,,,,,,رعایت حقوق کارگران,کارخانه
298,Expected,Family environment,Assisting mother with household chores,female; children,General,,female,,,,children,,,,زن,,,,فرزندان,,,زن; فرزندان,همراهی با مادر در کارهای خانه داری,خانواده
299,Expected,Family environment,Avoiding violence,familymember,General,,,,,,familymember,,,,,,,,عضو خانواده,,,عضو خانواده,پرهیز از اعمال خشونت,خانواده
300,Expected,Family environment,Avoiding waste of resources,,General,,,,,,,,,,,,,,,,,,پرهیز از اسراف در منابع,خانواده
301,Normal,Family environment,Being asked about marital status,female; daughter,Specific,,female,,,,daughter,,,,زن,,,,فرزند دختر,,,زن; فرزند دختر,مورد پرسش واقع شدن در مورد وضع ازدواج,خانواده
302,Expected,Family environment,Being expected to sacrifice,children; poor,General,,,,,,children,,poor,,,,,,فرزندان,,فقیر,فرزندان; فقیر,انتظار می رود که فداکاری کند,خانواده
303,Normal,Family environment,Being expected to sacrifice,children; wealthy,General,,,,,,children,,wealthy,,,,,,فرزندان,,ثروتمند,فرزندان; ثروتمند,انتظار می رود که فداکاری کند,خانواده
304,Expected,Family environment,Being expected to sacrifice and sacrifice,female; mother,Specific,,female,,,,mother,,,,زن,,,,مادر,,,زن; مادر,از شما انتظار می رود که فداکاری و فداکاری کنید,خانواده
305,Expected,Family environment,Entering others' private spaces without authorization,,Specific,,,,,,,,,,,,,,,,,,عدم ورود بدون اجازه به حریم خصوصی دیگران,خانواده
306,Taboo,Family environment,Exhibiting coldness and disrespect towards distant relatives,,General,,,,,,,,,,,,,,,,,,برخورد سرد و بی احترامی به اقوام درجه دور,خانواده
307,Normal,Family environment,Experiencing a lack of financial independence,female; married,Specific,,female,,,married,,,,,زن,,,متاهل,,,,زن; متاهل,نداشتن استقلال مالی,خانواده
308,Taboo,Family environment,Experiencing a lack of financial independence,male; married,Specific,,male,,,married,,,,,مرد,,,متاهل,,,,مرد; متاهل,نداشتن استقلال مالی,خانواده
309,Expected,Family environment,Focusing on children's education,adult; parent,General,adult,,,,,parent,,,بالغ,,,,,والدین,,,بالغ; والدین,توجه به آموزش فرزندان,خانواده
310,Normal,Family environment,Forgiving in the face of others' mistakes,familymember,General,,,,,,familymember,,,,,,,,عضو خانواده,,,عضو خانواده,گذشت و بخشش در برابر خطاهای دیگران,خانواده
311,Normal,Family environment,Having financial independence,female; divorced,Specific,,female,,,divorced,,,,,زن,,,جدا شده,,,,زن; جدا شده,داشتن استقلال مالی,خانواده
312,Expected,Family environment,Honoring parents' position,children,General,,,,,,children,,,,,,,,فرزندان,,,فرزندان,ارج نهادن به جایگاه والدین,خانواده
313,Expected,Family environment,Honoring the family,,General,,,,,,,,,,,,,,,,,,حرمت نهادن به خانواده,خانواده
314,Normal,Family environment,Introducing partner to family before marriage,,Specific,,,,,,,,,,,,,,,,,,معرفی همسر به خانواده پیش از اقدام به ازدواج,خانواده
315,Expected,Family environment,Maintaining confidentiality of others' secrets,,General,,,,,,,,,,,,,,,,,,رازداری و حفظ اسرار محرمانه دیگران,خانواده
316,Expected,Family environment,Promoting family stability and the importance of marriage,familymember,General,,,,,,familymember,,,,,,,,عضو خانواده,,,عضو خانواده,ارتقای ثبات خانواده و اهمیت ازدواج,خانواده
317,Expected,Family environment,Providing hospitality and hosting guests,,General,,,,,,,,,,,,,,,,,,مهمان‌نوازی و میهمان‌پذیری,خانواده
318,Expected,Family environment,Raising children per ethical/religious principles,,General,,,,,,,,,,,,,,,,,,تربیت فرزندان در چارچوب اصول اخلاقی و دینی,خانواده
319,Expected,Family environment,Raising virtuous children,adult; parent,General,adult,,,,,parent,,,بالغ,,,,,والدین,,,بالغ; والدین,تربیت فرزندان صالح,خانواده
320,Expected,Family environment,Respecting elders,young; ,General,young,,,,,,,,جوان,,,,,,,,جوان; ,گرامی داشتن بزرگترها,خانواده
321,Expected,Family environment,Seeking permission before entering,young; children,Specific,young,,,,,children,,,جوان,,,,,فرزندان,,,جوان; فرزندان,گرفتن اجازه قبل از ورود,خانواده
322,Expected,Family environment,Showing respect toward elders,,General,,,,,,,,,,,,,,,,,,رعایت ادب در برابر بزرگترها,خانواده
323,Taboo,Family environment,Smoking around family,familymember,General,,,,,,familymember,,,,,,,,عضو خانواده,,,عضو خانواده,استعمال دخانیات در جمع خانوادگی,خانواده
324,Expected,Family environment,Speaking courteously,young; children,General,young,,,,,children,,,جوان,,,,,فرزندان,,,جوان; فرزندان,مودبانه صحبت کردن,خانواده
325,Normal,Family environment,Using Arabic words in daily conversations,,Specific,,,,,,,,,,,,,,,,,,استفاده از کلمات عربی در مکالمات روزمره,خانواده
326,Expected,Family environment,Wearing weather-appropriate clothing,familymember,General,,,,,,familymember,,,,,,,,عضو خانواده,,,عضو خانواده,پوشیدن لباس متناسب با شرایط آب و هوایی,خانواده
327,Normal,Family gathering,Avoiding mingling of unrelated men and women,,Specific,,,,,,,,,,,,,,,,,,خودداری از مخلوط شدن زنان و مردان بیگانه,مهمانی خانوادگی
328,Normal,Family gathering,Backbiting and gossiping about others,,Specific,,,,,,,,,,,,,,,,,,غیبت کردن و بدگویی از دیگران,مهمانی خانوادگی
329,Expected,Family gathering,Behaving respectfully toward elders,,General,,,,,,,,,,,,,,,,,,رفتار محترمانه با سالمندان و بزرگتر ها,مهمانی خانوادگی
330,Expected,Family gathering,Being expected to remain virgins until marriage,female; Muslim,Specific,,female,Muslim,,,,,,,زن,مسلمان,,,,,,زن; مسلمان,انتظار می‌رود که تا زمان ازدواج باکره بمانند,مهمانی خانوادگی
331,Normal,Family gathering,Being expected to remain virgins until marriage,female; Not Muslim,General,,female,Not Muslim,,,,,,,زن,نامسلمان,,,,,,زن; نامسلمان,انتظار می‌رود که تا زمان ازدواج باکره بمانند,مهمانی خانوادگی
332,Normal,Family gathering,Competing in intellectual games on Yalda Night,,Specific,,,,,,,,,,,,,,,,,,رقابت در بازی های فکری در شب یلدا,مهمانی خانوادگی
333,Taboo,Family gathering,Criticizing the food in the presence of the cook,,Specific,,,,,,,,,,,,,,,,,,انتقاد از غذا در حضور آشپز,مهمانی خانوادگی
334,Expected,Family gathering,Decorating with watermelon and nuts on Yalda Night,,General,,,,,,,,,,,,,,,,,,تزیین خانه با هندوانه و آجیل در شب یلدا,مهمانی خانوادگی
335,Normal,Family gathering,Eating bread made from mixed grains,,Specific,,,,,,,,,,,,,,,,,,خوردن نان از آمیخته هفت نوع غله,مهمانی خانوادگی
336,Expected,Family gathering,Eating nuts and snacks on Yalda Night,,General,,,,,,,,,,,,,,,,,,خوردن آجیل در شب یلدا,مهمانی خانوادگی
337,Expected,Family gathering,Engaging in warm and intimate interactions,,General,,,,,,,,,,,,,,,,,,تعامل گرم و صمیمی,مهمانی خانوادگی
338,Expected,Family gathering,Escorting women to the entrance,male,Specific,,male,,,,,,,,مرد,,,,,,,مرد,بدرقه زنان به در ورودی منزل,مهمانی خانوادگی
339,Taboo,Family gathering,Exhibiting disrespectful treatment of the elderly,,Specific,,,,,,,,,,,,,,,,,,نمایش رفتار توهین آمیز نسبت به سالمندان و افراد مسن,مهمانی خانوادگی
340,Expected,Family gathering,Expecting respect and honor from younger people,elderly; ,General,elderly,,,,,,,,مسن,,,,,,,,مسن; ,انتظار احترام و تکریم از سوی جوانترها,مهمانی خانوادگی
341,Expected,Family gathering,Expecting warm hospitality as guests,,General,,,,,,,,,,,,,,,,,,انتظار پذیرایی صمیمانه از سمت مهمانان,مهمانی خانوادگی
342,Expected,Family gathering,Giving gifts and souvenirs to the host at gatherings,wealthy,Specific,,,,,,,,wealthy,,,,,,,,ثروتمند,ثروتمند,دادن هدایا و سوغات به میزبان,مهمانی خانوادگی
343,Normal,Family gathering,Giving gifts and souvenirs to the host at gatherings,middle class,Specific,,,,,,,,middle class,,,,,,,,طبقه متوسط,طبقه متوسط,دادن هدایا و سوغاتی به میزبان در مجالس,مهمانی خانوادگی
344,Expected,Family gathering,Giving priority to family and family ties,,General,,,,,,,,,,,,,,,,,,اصالت دادن به خانواده و پیوندهای خانوادگی,مهمانی خانوادگی
345,Expected,Family gathering,Having watermelon on the Yalda spread,,Specific,,,,,,,,,,,,,,,,,,گذاشتن هندوانه در سفره شب یلدا,مهمانی خانوادگی
346,Expected,Family gathering,Helping the host to set the table,,Specific,,,,,,,,,,,,,,,,,,کمک به میزبان برای چیدن سفره,مهمانی خانوادگی
347,Expected,Family gathering,Holding joyous ceremonies and weddings,,General,,,,,,,,,,,,,,,,,,برگزاری مراسم شاد و مجالس عروسی,مهمانی خانوادگی
348,Normal,Family gathering,Introducing close friend to family,,General,,,,,,,,,,,,,,,,,,معرفی دوست صمیمی به خانواده,مهمانی خانوادگی
349,Normal,Family gathering,Introducing fiancé to family before marriage,,Specific,,,,,,,,,,,,,,,,,,معرفی نامزد به خانواده قبل از ازدواج,مهمانی خانوادگی
350,Normal,Family gathering,Invading others' privacy,,Specific,,,,,,,,,,,,,,,,,,دخالت در امور خصوصی دیگران,مهمانی خانوادگی
351,Normal,Family gathering,Inviting friends over for Yalda Night,,Specific,,,,,,,,,,,,,,,,,,دعوت از دوستان به مهمانی شب یلدا,مهمانی خانوادگی
352,Normal,Family gathering,Keeping pets at home,,Specific,,,,,,,,,,,,,,,,,,نگه داشتن حیوانات خانگی در خانه,مهمانی خانوادگی
353,Expected,Family gathering,Maintaining family privacy,familymember,General,,,,,,familymember,,,,,,,,عضو خانواده,,,عضو خانواده,حفظ محرمیت خانوادگی,مهمانی خانوادگی
354,Expected,Family gathering,Maintaining kinship ties,familymember,General,,,,,,familymember,,,,,,,,عضو خانواده,,,عضو خانواده,ادای دین به خویشاوندان,مهمانی خانوادگی
355,Taboo,Family gathering,Making noise and disturbing neighbors,,General,,,,,,,,,,,,,,,,,,تولید سروصدا و مزاحمت برای همسایگان,مهمانی خانوادگی
356,Expected,Family gathering,Making wishes on Yalda Night,,Specific,,,,,,,,,,,,,,,,,,دعا کردن برای آرزوها در شب یلدا,مهمانی خانوادگی
357,Expected,Family gathering,Observing etiquette of hospitality as the host,,General,,,,,,,,,,,,,,,,,,رعایت آداب میهمان نوازی به عنوان میزبان,مهمانی خانوادگی
358,Expected,Family gathering,Observing etiquette of serving and hosting guests,,General,,,,,,,,,,,,,,,,,,رعایت آداب سفره و پذیرایی از میهمان,مهمانی خانوادگی
359,Expected,Family gathering,Offering food to elders first,,Specific,,,,,,,,,,,,,,,,,,تعارف کردن غذا به بزرگترها در ابتدا,مهمانی خانوادگی
360,Normal,Family gathering,Offering Gilan olives as an appetizer,,Specific,,,,,,,,,,,,,,,,,,تعارف کردن زیتون پرورده گیلان به عنوان پیش غذا,مهمانی خانوادگی
361,Expected,Family gathering,Offering seat next to self to guest,,Specific,,,,,,,,,,,,,,,,,,تعارف جای نشستن در کنار خود به مهمان,مهمانی خانوادگی
362,Expected,Family gathering,Offering tah dig to special guests,,Specific,,,,,,,,,,,,,,,,,,تعارف کردن ته دیگ به مهمان ویژه,مهمانی خانوادگی
363,Normal,Family gathering,Ordering more food than necessary as a guest,,General,,,,,,,,,,,,,,,,,,سفارش بیشتر غذا از آنچه لازم است به عنوان مهمان,مهمانی خانوادگی
364,Normal,Family gathering,Reciting Hafez poetry on Yalda Night,,Specific,,,,,,,,,,,,,,,,,,خواندن شعر حافظ در شب یلدا,مهمانی خانوادگی
365,Taboo,Family gathering,Reciting inappropriate poetry on Yalda Night,,Specific,,,,,,,,,,,,,,,,,,سر کردن شعرهای زشت در شب یلدا,مهمانی خانوادگی
366,Normal,Family gathering,Recommending Gaz Isfahan or Sohan Qom as special sweets,,Specific,,,,,,,,,,,,,,,,,,تعارف کردن گز اصفهان یا سوهان قم به عنوان شیرینی خاص,مهمانی خانوادگی
367,Taboo,Family gathering,Refusing the food that the host has served,,Specific,,,,,,,,,,,,,,,,,,رد کردن غذایی که میزبان سرو کرده است,مهمانی خانوادگی
368,Expected,Family gathering,Repeated offering of food to guests,,Specific,,,,,,,,,,,,,,,,,,تعارف مکرر غذا به مهمان,مهمانی خانوادگی
369,Expected,Family gathering,Respecting elders,young; ,General,young,,,,,,,,جوان,,,,,,,,جوان; ,احترام به پیران و بزرگترها,مهمانی خانوادگی
370,Expected,Family gathering,Respecting elders at family gatherings,young; ,General,young,,,,,,,,جوان,,,,,,,,جوان; ,احترام به سالمندان و بزرگترها,مهمانی خانوادگی
371,Normal,Family gathering,Respecting elders by kissing their hands,young; ,Specific,young,,,,,,,,جوان,,,,,,,,جوان; ,احترام به بزرگترها با بوسیدن دستشان,مهمانی خانوادگی
372,Normal,Family gathering,Separating men's and women's dining tables at large gatherings,Muslim,Specific,,,Muslim,,,,,,,,مسلمان,,,,,,مسلمان,جدا کردن میز غذای مردان و زنان در مهمانی‌های بزرگ,مهمانی خانوادگی
373,Normal,Family gathering,Separating men's and women's dining tables at large gatherings,Not muslim,Specific,,,Not muslim,,,,,,,,نامسلمان,,,,,,نامسلمان,جدا کردن میز غذای مردان و زنان در مهمانی‌های بزرگ,مهمانی خانوادگی
374,Expected,Family gathering,Serving food,female,Specific,,female,,,,,,,,زن,,,,,,,زن,پذیرایی و سرو غذا را انجام دادن,مهمانی خانوادگی
375,Normal,Family gathering,Serving food at family celebrations,male,Specific,,male,,,,,,,,مرد,,,,,,,مرد,پذیرایی و سرو غذا را انجام دادن,مهمانی خانوادگی
376,Normal,Family gathering,Serving local foods to guests,,Specific,,,,,,,,,,,,,,,,,,پذیرایی با غذاهای محلی از مهمان,مهمانی خانوادگی
377,Expected,Family gathering,Serving tea to guests,,Specific,,,,,,,,,,,,,,,,,,پذیرایی مهمان با چای و شیرینی,مهمانی خانوادگی
378,Expected,Family gathering,Serving with syrup or water,,Specific,,,,,,,,,,,,,,,,,,پذیرایی با شربت یا آب,مهمانی خانوادگی
379,Normal,Family gathering,Sharing stories and memories,,General,,,,,,,,,,,,,,,,,,به اشتراک گذاری داستان ها و خاطرات,مهمانی خانوادگی
380,Expected,Family gathering,Sitting around the Yalda spread,,Specific,,,,,,,,,,,,,,,,,,نشستن دور سفره شب یلدا,مهمانی خانوادگی
381,Expected,Family gathering,standing and attending to guests,,Specific,,,,,,,,,,,,,,,,,,ایستادن و رسیدگی به میهمانان توسط میزبان,مهمانی خانوادگی
382,Normal,Family gathering,Staying awake until dawn on Yalda Night,,Specific,,,,,,,,,,,,,,,,,,شب زنده داری تا صبح در شب یلدا,مهمانی خانوادگی
383,Taboo,Family gathering,Talking with a full mouth,,General,,,,,,,,,,,,,,,,,,صحبت کردن با دهان پر,مهمانی خانوادگی
384,Taboo,Family gathering,Telling explicit sexual jokes,,General,,,,,,,,,,,,,,,,,,گفتن شوخی‌های جنسی آشکار,مهمانی خانوادگی
385,Expected,Family gathering,Thanking the host and praising the food,,General,,,,,,,,,,,,,,,,,,نشان دادن ادب در برابر میزبان  و تعریف از غذا,مهمانی خانوادگی
386,Normal,Family gathering,Using humor in social interactions,,General,,,,,,,,,,,,,,,,,,استفاده از زبان شوخی و طنز در مراودات اجتماعی,مهمانی خانوادگی
387,Expected,Family gathering,Valuing family values,,General,,,,,,,,,,,,,,,,,,اهمیت دادن به ارزش های خانوادگی,مهمانی خانوادگی
388,Normal,Family gathering,Wearing casual attire,,General,,,,,,,,,,,,,,,,,,پوشیدن لباس غیررسمی,مهمانی خانوادگی
389,Normal,Family gathering,Wearing traditional old clothes on Yalda Night,,Specific,,,,,,,,,,,,,,,,,,لباس های قدیمی و سنتی در شب یلدا,مهمانی خانوادگی
390,Normal,Farm,Excessively using water and electricity for irrigation,,Specific,,,,,,,,,,,,,,,,,,استفاده بیش از حد از آب و برق,مزرعه
391,Normal,Farm,Teaching sustainable farming practices as an expert,,General,,,,,,,,,,,,,,,,,,آموزش شیوه‌های کشاورزی پایدار,مزرعه
392,Normal,Farm,Working in agriculture,female,Specific,,female,,,,,,,,زن,,,,,,,زن,کار کردن در کشاورزی,مزرعه
393,Expected,Farm,Working in agriculture,male; father,General,,male,,,,father,,,,مرد,,,,پدر,,,مرد; پدر,کار کردن در کشاورزی,مزرعه
394,Normal,Farm,Working in agriculture,child; children,Specific,child,,,,,children,,,کودک,,,,,فرزندان,,,کودک; فرزندان,کار در کشاورزی,مزرعه
395,Expected,First aid training centers,Teaching medical and emergency skills to citizens,,General,,,,,,,,,,,,,,,,,,آموزش امور پزشکی و اورژانسی به شهروندان,مراکز آموزش امداد
396,Expected,Friday prayer,Observing Islamic values in conduct/behavior,,Specific,,,,,,,,,,,,,,,,,,رعایت شئونات اسلامی در آداب و رفتار,نماز جمعه
397,Expected,Friends/relatives' homes,Giving Eidi (cash gifts) to children,elderly; familymember,Specific,elderly,,,,,familymember,,,مسن,,,,,عضو خانواده,,,مسن; عضو خانواده,دادن عیدی(هدایای نقدی) به کودکان,منازل آشنایان و دوستان
398,Expected,Friends/relatives' homes,Visiting relatives and friends on Eid days,familymember,Specific,,,,,,familymember,,,,,,,,عضو خانواده,,,عضو خانواده,دید و بازدید اقوام و دوستان در روزهای عید,منازل آشنایان و دوستان
399,Taboo,Garden,Disturbing others,,General,,,,,,,,,,,,,,,,,,مزاحمت برای دیگران,باغ
400,Normal,Gathering,Avoiding extravagance and waste,,General,,,,,,,,,,,,,,,,,,پرهیز از اسراف و تبذیر,مهمانی
401,Normal,Gathering,Gifting on occasions,,General,,,,,,,,,,,,,,,,,,اهدای هدیه در مناسبت ها,مهمانی
402,Normal,Gathering,Not leaving before the host as a guest,,Specific,,,,,,,,,,,,,,,,,,ترک نکردن قبل از میزبان به عنوان مهمان,مهمانی
403,Expected,Gathering,Observing hospitality etiquette,,General,,,,,,,,,,,,,,,,,,رعایت آداب مهمان نوازی,مهمانی
404,Taboo,Ghashghai nomad festival,Neglecting the observance of hijab,female,Specific,,female,,,,,,,,زن,,,,,,,زن,بی توجهی به رعایت حجاب,جشن عشایر قشقایی
405,Expected,Girls' school,Being forced to wear hijab,female,Specific,,female,,,,,,,,زن,,,,,,,زن,مجبور بودن به پوشیدن حجاب,مدرسه دخترانه
406,Taboo,Government office,Accepting bribes for services by government employees,,General,,,,,,,,,,,,,,,,,,رشوه گرفتن کارمندان دولتی برای ارائه خدمات,ادارات دولتی
407,Expected,Government office,Avoiding rude and insolent behaviors,,General,,,,,,,,,,,,,,,,,,اجتناب از رفتارهای جلف و گستاخانه,ادارات دولتی
408,Normal,Government office,Avoiding unauthorized use of public property,,Specific,,,,,,,,,,,,,,,,,,پرهیز از استفاده غیرمجاز از اموال عمومی,ادارات دولتی
409,Expected,Government office,Avoiding waste of public resources,,General,,,,,,,,,,,,,,,,,,اجتناب از اِتلاف منابع عمومی,ادارات دولتی
410,Normal,Government office,Being blamed for reporting harassment,female,Specific,,female,,,,,,,,زن,,,,,,,زن,سرزنش شدن برای گزارش آزار و اذیت,ادارات دولتی
411,Expected,Government office,Being forced to wear hijab,female,Specific,,female,,,,,,,,زن,,,,,,,زن,مجبور بودن به پوشیدن حجاب,ادارات دولتی
412,Expected,Government office,Carrying identification documents,,General,,,,,,,,,,,,,,,,,,همراه داشتن مدارک شناسایی,ادارات دولتی
413,Expected,Government office,Combating administrative corruption and bribery,,General,,,,,,,,,,,,,,,,,,مقابله با فساد اداری و رشوه‌خواری,ادارات دولتی
414,Expected,Government office,Committing to social order and discipline,,General,,,,,,,,,,,,,,,,,,التزام به نظم و انضباط اجتماعی,ادارات دولتی
415,Expected,Government office,"Conserving water, electricity and gas",,General,,,,,,,,,,,,,,,,,,صرفه‌جویی کردن در مصرف آب و انرژی,ادارات دولتی
416,Taboo,Government office,Demanding bribes from citizens by government employees,,General,,,,,,,,,,,,,,,,,,درخواست رشوه از شهروندان توسط کارمندان دولت,ادارات دولتی
417,Taboo,Government office,Discriminating against ethnic minorities,,General,,,,,,,,,,,,,,,,,,تبعیض علیه اقلیت های قومی,ادارات دولتی
418,Taboo,Government office,Discriminating against religious minorities,,General,,,,,,,,,,,,,,,,,,تبعیض در رفتار با اقلیت‌های مذهبی,ادارات دولتی
419,Taboo,Government office,Displaying romantic affection,married,Specific,,,,,married,,,,,,,,متاهل,,,,متاهل,نمایش احساسات عاطفی,ادارات دولتی
420,Expected,Government office,Dressing appropriately,,Specific,,,,,,,,,,,,,,,,,,پوشیدن لباس مناسب برای محیط کار,ادارات دولتی
421,Expected,Government office,Excluding and isolating unveiled women from official premises,female,Specific,,female,,,,,,,,زن,,,,,,,زن,طرد و انزوای زنان بی‌حجاب از اماکن رسمی,ادارات دولتی
422,Normal,Government office,Exhibiting warm and friendly interaction,,General,,,,,,,,,,,,,,,,,,داشتن تعامل گرم و صمیمی,ادارات دولتی
423,Expected,Government office,Following religious timings for work schedules,,Specific,,,,,,,,,,,,,,,,,,رعایت اوقات شرعی برای برنامه کاری,ادارات دولتی
424,Expected,Government office,Having limitations on entering certain governmental jobs,female,Specific,,female,,,,,,,,زن,,,,,,,زن,محدودیت داشتن برای ورود در بعضی مشاغل دولتی,ادارات دولتی
425,Normal,Government office,Having limitations on entering certain governmental jobs,male,Specific,,male,,,,,,,,مرد,,,,,,,مرد,داشتن محدودیت برای ورود به برخی مشاغل,ادارات دولتی
426,Normal,Government office,Having the freedom to choose what to wear,male,Specific,,male,,,,,,,,مرد,,,,,,,مرد,داشتن آزادی در انتخاب لباس,ادارات دولتی
427,Expected,Government office,Holding congregational prayers at the office,,Specific,,,,,,,,,,,,,,,,,,برگزاری نماز جماعت در محل کار,ادارات دولتی
428,Expected,Government office,Holding Friday prayers at the workplace,Muslim,Specific,,,Muslim,,,,,,,,مسلمان,,,,,,مسلمان,برگزاری نماز جمعه در محل کار,ادارات دولتی
429,Normal,Government office,Ignoring requests from employees as a boss,,Specific,,,,,,,,,,,,,,,,,,نادیده گرفتن درخواست های کارکنان به عنوان یک رئیس,ادارات دولتی
430,Normal,Government office,Justifying violence against women as a judge,,Specific,,,,,,,,,,,,,,,,,,توجیه خشونت علیه زنان به عنوان قاضی,ادارات دولتی
431,Expected,Government office,Maintaining Islamic decorum and etiquette,,General,,,,,,,,,,,,,,,,,,نگه داشتن شئونات و آداب اسلامی,ادارات دولتی
432,Taboo,Government office,Neglecting rights of the disabled,,General,,,,,,,,,,,,,,,,,,عدم توجه به حقوق معلولان و افراد کم توان,ادارات دولتی
433,Taboo,Government office,Not paying municipal fees and service charges,,General,,,,,,,,,,,,,,,,,,عدم پرداخت عوارض شهری و هزینه های خدماتی,ادارات دولتی
434,Expected,Government office,Observing workplace etiquette,,General,,,,,,,,,,,,,,,,,,رعایت آداب معاشرت مناسب محیط کاری,ادارات دولتی
435,Taboo,Government office,Paying alimony to man after divorce,female; divorced,Specific,,female,,,divorced,,,,,زن,,,جدا شده,,,,زن; جدا شده,پرداخت نفقه مردان پس از طلاق,ادارات دولتی
436,Expected,Government office,Paying alimony to woman after divorce,male; divorced,Specific,,male,,,divorced,,,,,مرد,,,جدا شده,,,,مرد; جدا شده,پرداخت شیربها  به زن پس از طلاق,ادارات دولتی
437,Expected,Government office,Paying dues and taxes on time,,General,,,,,,,,,,,,,,,,,,پرداخت به‌موقع عوارض و مالیات‌ها,ادارات دولتی
438,Normal,Government office,Protesting against rules and regulations as a citizen,,Specific,,,,,,,,,,,,,,,,,,اعتراض به قوانین به عنوان یک شهروند,ادارات دولتی
439,Taboo,Government office,Providing flexible working hours as a employer,,General,,,,,,,,,,,,,,,,,,ارائه ساعات کاری انعطاف پذیر به عنوان کارفرما,ادارات دولتی
440,Normal,Government office,Receiving exorbitant salaries by government officials,,Specific,,,,,,,,,,,,,,,,,,دریافت حقوق های گزاف توسط مقامات دولتی,ادارات دولتی
441,Expected,Government office,Receiving special facilities,elderly; ,General,elderly,,,,,,,,مسن,,,,,,,,مسن; ,دریافت تسهیلات ویژه,ادارات دولتی
442,Normal,Government office,Receiving special facilities based on family relations,,Specific,,,,,,,,,,,,,,,,,,دریافت تسهیلات ویژه بر اساس روابط خویشاوندی,ادارات دولتی
443,Taboo,Government office,Reopening workplaces on holidays,,General,,,,,,,,,,,,,,,,,,بازگشایی محل‌های کار در روز های تعطیل,ادارات دولتی
444,Expected,Government office,Respecting human rights and dignity,,General,,,,,,,,,,,,,,,,,,توجه به حقوق و کرامت انسانی افراد,ادارات دولتی
445,Expected,Government office,Showing honesty and truthfulness in words and deeds,,General,,,,,,,,,,,,,,,,,,نشان دادن صداقت و راستگویی در گفتار و کردار,ادارات دولتی
446,Normal,Government office,Sitting with legs crossed in front of men,male,Specific,,male,,,,,,,,مرد,,,,,,,مرد,نشستن با پاهای روی هم در مقابل مردان,ادارات دولتی
447,Taboo,Government office,Sitting with legs crossed in front of women,male,Specific,,male,,,,,,,,مرد,,,,,,,مرد,نشستن با پاهای ضربدری در مقابل زنان,ادارات دولتی
448,Normal,Government office,Taking long lunch breaks,,Specific,,,,,,,,,,,,,,,,,,گرفتن استراحت طولانی ناهار,ادارات دولتی
449,Normal,Government office,Thanking employees after receiving services,,General,,,,,,,,,,,,,,,,,,تشکر از کارمندان بعد از دریافت خدمات,ادارات دولتی
450,Expected,Government office,Upholding Islamic values,,Specific,,,,,,,,,,,,,,,,,,رعایت شئون اسلامی,ادارات دولتی
