Norm,Environment,Context,Label
Disrespecting the holy month of Ramadan in cyberspace,Cyberspace,Users in cyberspace,Taboo
Behaving respectfully towards others,Mosque,Worshippers interacting calmly and respectfully,Expected
Importance of education and learning,Education,Students and teachers,Expected
Warm hospitality to guests,Qashqai tribal festival,Qashqais warmly hosting guests with traditional food and tea,Expected
Maintaining distance between men and women in queues,Airport,Separate queues or spacing between men and women in lines,Normal
Invasion of others' privacy,Clinic,By individuals at a local clinic,Taboo
Helping orphans and homeless children,Charity centers,Philanthropists financially supporting orphaned children,Expected
Making jokes about sacred subjects,Mourning ceremony,A group of youths laughing and mocking the mourning ceremony,Taboo
Observing rights of the disabled,Hospital,Staff attending to a disabled patient's special needs,Expected
Gender segregation in religious sites,Mosque,By men and women inside the mosque,Taboo
Controlling behavior/speech before elders,Party,Youth at a family party,Expected
Childcare,Daycare center,Caregivers looking after children,Expected
Disrespectful behavior towards the elderly,Bus,A youth not giving seat to an elderly person,Taboo
Reading Quran & Ramadan supplications,Home,An individual reciting Quran and Ramadan prayers at home,Expected
Eating food,Classroom,A student eating in the classroom,Taboo
Appreciating others' efforts,Office meeting,Employees in a work meeting,Normal
Avoiding extravagance and waste,Gatherings,Hosts serving with moderation,Normal
Not respecting others' privacy,Hotel,Guests entering others' rooms without permission,Taboo
Respectful/polite interaction with colleagues,Office Meeting,Employees conversing with each other,Expected
Timely payment of employee salaries,Workplace,Employer and employees in the workplace,Expected
Offering to drive for elders out of respect,Road trip,People boarding a vehicle,Normal
Holding Friday prayers at the workplace,Government office,Employees holding Friday prayers at the government workplace,Expected
Avoiding insults and profanity in cyberspace,Cyberspace,Users in cyberspace,Expected
Honoring one's profession and career,Workplace,People take pride in their jobs,Normal
Observing Islamic decorum in dress/appearance,Public Transport,"Using buses, metro and other city transport",Expected
Wearing casual attire,Formal workplace,An employee dressed casually at work,Taboo
Respecting others' privacy at the beach,Beach,A couple taking photos of another family without permission,Taboo
Spilling ink on the bride's dress,Wedding ceremony,"At the wedding ceremony, ink is spilled on the bride's dress",Normal
Restricting women's recreational activities,Everywhere,By families limiting women's access to parks and cinemas,Normal
Violent behaviors in sports,Gym,Athletes training at a sports gym,Expected
Raising children per ethical/religious principles,Family Home,Parents interacting with children,Expected
Stealing ancient artifacts and national treasures,Archaeological site,A group illegally excavating and stealing historical artifacts,Taboo
Protecting the environment,Nature outing,Tourists avoiding polluting nature,Normal
Establishing centers of corruption by criminals,Impoverished neighborhood,Criminals setting up illicit operations in a poor neighborhood,Taboo
Avoiding noise in museums,Museum,Visitors quietly walking through a museum,Expected
Eating while walking,City street,A person eating while walking on the street,Normal
Teaching non-religious sciences at schools,School,A teacher teaching experimental sciences in a classroom,Normal
Hiking with safety precautions,Mountain,A group of hikers taking safety precautions while climbing mountains,Expected
Mocking mourning rituals and customs,University,A student making jokes about mourning ceremonies,Taboo
Environmental pollution and damage to natural sites,Mountain,By tourists in a mountainous area,Taboo
Teaching medical and emergency skills to citizens,First aid training centers,Educational courses for citizens in emergencies,Expected
Taking souvenir photo by Haft-Seen spread,Home,Family gathering for a photo by the Haft-Seen spread,Normal
Attending religious ceremonies in improper attire,Husayniyah,Someone improperly dressed attending a religious ceremony at a Husayniyah,Taboo
Order/discipline in shopping/civic queues,Bank,Visiting bank for financial matters,Expected
Placing mirror beside Haft-Seen spread,Home,A family putting a mirror beside the Haft-Seen spread,Expected
Women-only taxis in cities,City street,Some taxis only allow female passengers,Normal
Respecting sanctities,Mosque,Worshippers maintain silence at the mosque,Expected
Disrespecting Tirgan traditions,Tirgan festival,A teen mocking Tirgan rituals,Taboo
Volunteering services for the community,Social service centers,Volunteers providing free services to vulnerable groups,Expected
Avoiding speaking loudly in the hospital,Hospital,Patients and companions in the hospital premises,Expected
Not wearing very short or revealing clothes,Wedding ceremony,Guests at the wedding celebration,Normal
Coexistence and tolerance for diverse cultures,Multinational city,Living in multinational and multicultural cities,Normal
Expectation of financial provision by the man,Home,A family planning household expenses,Expected
Using national and cultural symbols,National ceremony,Participants at a national ceremony,Expected
Observing Islamic values in conduct/behavior,Friday Prayer,Attending Friday prayers and religious ceremonies,Expected
Refraining from mocking and ridiculing others,School,Behaving with classmates at school,Expected
Remaining calm/self-restrained in heavy traffic,City Street,Drivers in heavy city traffic,Expected
Legal action against sharing illegal or criminal content online,Cyberspace,A citizen reporting a Telegram channel involved in drug sales,Expected
Kindness towards animals,Home,Family members showing affection to pets,Normal
Avoiding backbiting and gossip,Workplace,Coworkers avoid gossiping about each other,Expected
Respecting the elderly and family values,Family gathering,Youths respecting elder family members,Expected
Filming the accident scene,Accident scene,Citizens filming the accident site,Normal
Exercise and recreation,Park,A group running and exercising in the park,Normal
Avoiding offensive and insulting behavior,Workplace,Coworkers interacting with each other in the workplace,Expected
Driving at illegal high speeds in the city,City streets,A driver speeding in the city,Normal
Avoiding littering in public areas,City street,Pedestrians walking on the street,Expected
Not silencing mobile phones in halls,Theater,An audience member's phone ringing in the theater hall,Taboo
Tendency towards excessive consumerism,Shopping mall,Shoppers buying luxury and overpriced goods beyond actual needs,Expected
Holding ancient ceremonies,Yalda Night,Family celebrating Yalda Night,Normal
Forced marriage without consent,Home,A young woman objecting to a forced marriage,Normal
Adhering to national values and traditions,Wedding ceremony,For couples and guests at weddings,Expected
Rosewater Festival with traditional clothing,Village,Villagers celebrating the Rosewater Festival in traditional clothing,Expected
Organ donation to save lives,Hospital,Families donating organs of deceased loved ones,Expected
Visiting historical and ancient sites,Museum,At a museum and cultural center,Normal
Public display of inappropriate sexual behavior,Cinema,By a young couple in the movie theater,Taboo
Constructive criticism of products or services online,Cyberspace,A dissatisfied customer writing about their experience with a brand on review sites,Normal
Following norms when interacting with judges,Court,Appearing as defendant in court hearing,Expected
Inefficient queuing system,Hospital,In public hospitals and healthcare centers,Expected
Priority for men in bread and fuel queues,Bakery,Separating queues for men and women at a bakery,Expected
Leaving work to attend mourning ceremonies,Workplace,A government employee leaving work without notice,Normal
Using mobile phones at school,School,Students using mobile phones on school premises,Taboo
Smoking at the clinic,Clinic,An individual smoking on the premises of a clinic,Taboo
Sharing appropriate Muharram content,Muharram,A user posting content related to Muharram mourning,Expected
Avoiding prolonged eye contact with strangers,City street,Someone walking down the street,Expected
Consuming meat and alcohol in Ramadan,Restaurant,A group of Muslim friends at a restaurant during Ramadan,Taboo
Keeping pets at home,Apartment,A family keeping a dog in their apartment,Normal
Associating individuals with their hometown or village,University,Students are identified by their city or village instead of family name,Normal
Crude and sexist jokes towards individuals,Workplace,Among male and female coworkers,Taboo
Staff dancing in traditional rituals,Traditional ritual," In some rituals, people dance with staves",Normal
Prying into others' private matters,Family gathering,A guest inquiring about the host's personal life,Taboo
Drug use in public places,National park,By a group of youths in a national park,Taboo
Addressing people by family titles in public,Park,"People addressing each other as ""Sir"" or ""Ma'am""",Normal
Courteous speech,Family,A child speaking to parents,Expected
Using humor in social interactions,Family gathering,People use humor and wit in their conversations,Normal
Maintaining family privacy,Family gathering,Family members avoid revealing family secrets,Expected
Observing hospitality etiquette,Family party,Host treating guests with hospitality,Expected
Smuggling goods and currency,Customs,Customs officers inspecting goods and travelers,Taboo
Watching obscene films at the cinema,Cinema,A group of friends watching an obscene film at the cinema,Taboo
Welcoming local and indigenous festivals and rituals,Local festival,Attending local cultural festivals,Normal
Inappropriate relations at guesthouses,Guesthouse,An unmarried couple in an inappropriate relationship at a guesthouse,Taboo
Sharing Yalda stories and legends,Yalda Night,A user sharing cultural content about Yalda celebration,Expected
Women wearing chadors in public places,City street,A woman wearing a chador on the street,Normal
Introducing tourist attractions to visitors,Tourism,Guiding visitors to scenic attractions in the city,Normal
Dressing appropriately for office environment,Bank,Visiting bank for financial matters,Expected
Avoiding aggressive and violent behavior,Stadium,At a sporting event or competition,Normal
Sitting with legs crossed in front of women,Government office,A male employee sitting with crossed legs in front of women,Taboo
Asking strangers for help,City street,An individual asking pedestrians for directions,Normal
Observing law and regulations,Court,Lawyers and judges in a court session,Expected
Performing traditional dances,Qashqai tribal festival,Qashqai men and women performing traditional dances,Expected
Identity fraud in cyberspace,Cyberspace,Someone creating a fake account with the intent to deceive,Taboo
Harassing teachers at school,School,A student harassing teachers at school,Taboo
Smoking in designated smoking areas,Restaurant,An individual smoking in the designated smoking area of the restaurant,Taboo
Strolling,Park,A group of people walking in the park,Expected
Robbery or mugging in public areas,City street,An individual forcibly robbing someone's belongings on the street,Taboo
Celebrating traditional festivals,Chaharshanbe Suri,A group lighting a fire and jumping over it,Normal
Spreading rumors and fake news,Online,Users spreading fake news on social media,Taboo
Using Persian in official government communication,Government office,Employees using Persian for official communication,Expected
Reciting Arbaeen supplications online,Internet,A user sharing a video of rowzeh khani on social media,Normal
Respecting others' privacy,Cyberspace,Users refrain from sharing others' private pictures,Expected
Spending Sizdah Bedar in nature,Sizdah Bedar,Family picnicking in park,Expected
Repeated food/drink offers,Qashqai tribal festival,The host insistently offering food/drinks to guests,Normal
Exploitation of natural resources,Beach,A group littering and polluting the beach,Taboo
Supporting domestic products,Shopping mall,A family buying locally-made products at a shopping mall,Normal
Avoiding mingling of unrelated men and women,Family gathering,At family gatherings with relatives and acquaintances,Normal
Use of vulgar and profane language,Bakery queue,Someone using profane language in the bakery queue,Taboo
Diligence and perseverance in studies,School,Students study diligently,Normal
Night street plays,Old Tehran,Performing street plays on Eid nights,Normal
Use of local dialect and accent,Traditional market,Two friends chatting in a traditional market,Normal
Buying from street vendors at the mall,Shopping mall,Customers purchasing from street vendors inside the shopping mall,Normal
Preserving traditional customs,Marriage ceremony,A traditional marriage ceremony following specific rituals,Expected
Nighttime gatherings in public places,Park,A group of youth in the park at night,Normal
Camping and lighting fires in the desert,Desert,A group of tourists camping and lighting fires in the desert,Normal
Immodesty and indecency in dress and behavior,Mosque,In the sacred mosque environment for worship,Taboo
Observing traffic culture,City Street,Drivers and pedestrians commuting,Expected
Dressing appropriately for the institution,University,Students dressing properly on campus,Expected
Consanguineous marriage,Village,A young couple holding their cousin marriage in a village,Normal
Preserving traditional village springs and cisterns,Qanat and reservoir,Preserving historical water structures in villages,Normal
Strict government censorship of media,National media,Severe vetting and censorship of national media content by government,Normal
Disrespecting national symbols,Official ceremonies,Someone disrespecting the national flag at an official ceremony,Taboo
Mandatory hijab for women in some government offices,Government office,For female citizens in government offices,Expected
Honoring martyrs and disabled war veterans,Martyrs' Park,Visiting park/memorial for war martyrs,Expected
Respecting old traditions in marriage ceremonies,Wedding ceremony,The couple observing traditional rituals at their wedding,Normal
Lack of financial independence for married women,Family,Needing husband's permission for some financial decisions,Normal
Selling drugs in the park,Park,People selling and dealing drugs in a park,Taboo
Giving charity and helping the needy during Ramadan,City street,Someone giving financial aid to a beggar on the street during Ramadan,Expected
Respecting local languages and dialects,Ethnic regions,People take pride in their native tongue and dialect,Normal
Watching foreign films at the cinema,Cinema,A group of friends watching a foreign film at the cinema,Normal
Respecting citizenship rights,Society,Citizens asserting rights they are aware of,Normal
Respecting others' privacy in cyberspace,Cyberspace,Users active on social networks,Normal
Inviting others for iftar,Ramadan Month,Inviting others to break the fast during Ramadan,Expected
Artists and writers challenging conventional norms,Art festival,Artists challenging norms at a festival,Normal
Participating in mourning rituals,Hussainiya,A family holding a rowzeh khani ceremony,Expected
Small fireworks on Chaharshanbe Suri,Park,A group of friends setting off small fireworks,Normal
Avoiding confrontations in public places,Stadium,Spectators watching a sports event,Normal
Using respectful Arabic terms,Workplace,When addressing senior colleagues in the workplace,Expected
Littering in nature,Mountain,A group of tourists picnicking in the mountains,Taboo
Respecting privacy at public saunas,Sauna,People respecting each other's privacy at a public sauna,Expected
Not consuming non-halal food in public,Restaurant,Friends dining out,Expected
Formal greeting/inquiry from village elders,Village Square,A youth respecting village elders,Expected
Blood donation to save lives,Blood donation center,Volunteers donating blood,Expected
Asking for help from others,City street,When in need or lost on the street,Normal
Avoiding inappropriate dress in public places,Park,People spending leisure time in a park,Expected
Women doing strenuous jobs,Traditional workshop,Women performing hard labor at a traditional workshop,Taboo
Protection of animal rights,Zoo,Visitors not harming animals,Normal
Observing cyber laws and regulations,Cyberspace,A user posting illegal or threatening content,Taboo
Sympathizing and supporting the grieving,Mourning ceremony,For participants in mourning and grieving ceremonies,Expected
Playing and having fun with pets,Park,In a park in the presence of others but without harming the animal,Normal
Warmly welcoming strangers,Village,Villagers warmly welcoming strangers,Expected
Expressing grief for Karbala martyrs,University,A professor lecturing on the Ashura event,Expected
Appreciating and respecting teachers and professors,School and university,Students honoring their teachers,Expected
Hospitality,Nomad tents,Nomad hosts receiving guests,Expected
Celebration and joy,Wedding ceremony,Guests dancing and stomping at the wedding,Expected
Assisting patients at the hospital,Hospital,Nurses and doctors attending to patients at the hospital,Expected
Celebrating national and religious festivals,Mosque,Celebrating the Prophet's birthday at the local mosque,Expected
Smoking in enclosed public places,Restaurant,Customers smoking cigarettes in indoor restaurants,Expected
Utilizing modern medical treatment methods,Hospital,Doctors using modern treatment methods in the hospital,Normal
Organ donation after death to save lives,Hospital,A deceased person donating their organs to patients in need,Normal
Execution of convicted murderers,Prison compound,Convicts being executed in the prison compound,Normal
Respecting the national flag and symbols,Inauguration ceremony,Officials taking the oath,Expected
Displaying romantic affection at work,Government office,Coworker couple showing romantic affection at the office,Taboo
Hospitality etiquette when hosting guests,Host's home,The host serving guests,Expected
Staying awake for the dawn prayer,Suhoor gathering,People performing the dawn prayer at the mosque,Expected
Keeping the beach clean,Beach,Swimmers and pedestrians by the sea,Expected
Using polite language and behavior,Bank,Customer visiting the bank,Expected
Spreading rumors and causing discord online,Cyberspace,A group posting fake and divisive information on social media,Taboo
Dedicating sections of recreational facilities for women,Gym,Women exercising at the gym,Expected
Inquiring about acquaintances' business affairs,Nomadic tenting,Visiting nomadic relatives during travel,Normal
Public sexual acts,Park,In a public park and family recreation area,Taboo
Samnoo baking,Isfahan,Baking and distributing samnoo on Ashura day,Normal
Sustainable use of limited natural resources,Desert,Tourists avoiding pollution and preserving water and soil resources,Expected
Insisting on offering food/drinks to guests,Party,Host insistently offering to guests,Expected
Simplicity and asceticism,Mourning ceremonies,Rowzeh reciters without extravagance,Expected
"Selling Nowruz items like coins, candles, nuts",Marketplace,A vendor selling Nowruz related items,Normal
Selling illegal goods in cyberspace,Cyberspace,A vendor selling contraband goods on social media,Taboo
Disregarding rights of the disabled,Subway,A bus driver refusing to stop at the designated disabled stop,Expected
A young couple talking,City street,A young couple walking and talking on the street,Normal
Respecting elders and white-bearded men,Qashqai tribal festival,During various ceremonies and festivals,Expected
Observing traffic etiquette and respecting traffic laws,City street,While driving on city streets,Expected
Peaceful protests for women's rights,City street,A group of women peacefully protesting,Normal
Refraining from making disturbing noises,Office meeting,Employees attending an office meeting,Normal
Appreciating traditional arts like carpet weaving,Art exhibition,Visitors attending an art exhibition,Expected
Observing rights of the disabled,Park,Society providing special facilities for the disabled,Normal
Respecting age hierarchy within the family,Family gathering,A youth conversing with their grandfather,Expected
Promoting culture of joy/vitality in society,National Media,Broadcasting joyful/lively programs on national media,Expected
Teaching the Persian language to children of ethnic minorities,Elementary school,Minority students learning Persian at school,Expected
Carpet washing,Mashhad Ardehal,Traditional carpet washing ritual in rivers,Expected
Invasion of privacy,Neighbor's home,A neighbor intruding on others' private lives,Taboo
Political slogans at street protests,City street,Protesters chanting political slogans on the street,Normal
Revealing others' private secrets,Workplace,An employee disclosing coworkers' private information,Taboo
Aiding and rescuing victims at accident scenes,Accident scene,Citizens helping injured persons at the scene of an accident,Expected
No handshaking/physical contact with opposite gender,Workplace,Men and women avoiding physical contact with opposite gender,Expected
Wearing black during Muharram,Muharram,A group of men in a mourning gathering,Expected
Maintaining cleanliness and collecting litter,Park,A volunteer group collecting litter from the park,Normal
Taking photos of people without permission,Park,Some people taking unsolicited photos of others,Normal
Expressing warmth among village elders,Village,Elderly village men expressing warm emotions openly,Normal
Offering food and drinks to guests,Host's home,A host in the presence of guests,Expected
Dressing appropriately at sacred/religious sites,Shrine Visitation,Visiting shrines of religious figures,Expected
Political free speech in media and publications,Newspaper,A journalist freely expressing political views,Taboo
Joyous and boisterous wedding celebration,Wedding ceremony,Guests dancing and rejoicing at a wedding,Normal
Smuggling alcoholic beverages,Border,Smugglers trafficking alcoholic drinks across borders,Expected
Patience with children,Home,Parents patiently attend to their children,Expected
Disregarding traffic rules,City street,Drivers not following traffic regulations,Expected
Spreading misinformation and rumors online,Cyberspace,A user posting fake and unverified news,Taboo
Teaching life skills in cyberspace,Cyberspace,A psychologist hosting educational webinars on social media,Normal
Having suhoor before Fajr during Ramadan,Home,An individual having suhoor before Fajr in Ramadan,Expected
Sharing Nowruz related content,Nowruz,Someone sharing Nowruz pictures and videos,Expected
Refraining from public displays of sexual interest,Park,For young couples in public spaces,Expected
Operating illegal gambling dens,Residential home,A group running an illegal gambling operation at home,Taboo
Avoiding littering/polluting environment,Sizdah Bedar,Celebrating Sizdah Bedar in nature,Expected
Avoiding violations of norms and publicizing private relations,Park,For young couples in public parks,Normal
Insulting ancient festivals online,Ancient festivals,A user posting insulting messages about ancient rituals,Taboo
Driving at illegal speeds,Highway,A driver speeding on the highway,Taboo
Cousin marriages between close relatives,Village,A boy and girl from two branches of the same family marrying,Normal
Tax evasion by citizens,Tax office,Individuals refusing to pay taxes,Taboo
Displaying decorum/composure when interacting,School,Students in school environment,Expected
Abandoning stray dogs in urban environments,Park,Unattended stray animals harassing citizens,Normal
Singing together,Sizdah Bedar,Being in nature and performing local songs,Expected
Smoking in public places,Bus,Bus passengers,Taboo
Preparing local and traditional foods for serving,Family gathering,The host is preparing traditional and local foods for guests,Expected
Politeness and respect in online interactions,Cyberspace,Discussion and exchange of views in an online group,Normal
Child marriage for girls,Village,In some rural and nomadic areas,Expected
Male and female seating together,Youth party,A group of young friends at a private party,Normal
Ash festival,Lorestan,A festival for cooking and serving the local ash dish,Normal
Avoiding love songs,Mourning ceremonies,A chest-beating group at a mourning gathering,Expected
Inquiring about daughters' marital status,Family,By relatives and acquaintances asking young women,Expected
Waiting in line,Shopping line at mall,People queued to shop at a store,Expected
Showing respect for the elderly,Subway,A youth offering their seat and showing respect to an elderly person,Normal
Respecting the human dignity of prisoners,Prison,Officers treating prisoners with respect,Normal
Giving gifts and souvenirs to the host at gatherings,Family gathering,Guests thank the host by giving gifts,Normal
Focusing on children's education,Family,Parents prioritizing children's upbringing and education,Expected
Shaking hands and embracing the opposite gender,Apartment,Unacquainted guests hugging/shaking hands when entering a home,Taboo
Timely payment of bills and taxes,Government office,Citizens paying dues and taxes on time,Expected
Preserving cultural heritage in traditional architecture,Traditional market,Visitors strolling in a traditional market,Expected
Reciting poetry to celebrate the new year,Home,Someone reciting Nowruz poetry for others,Normal
Eating nuts and snacks on Yalda Night,Family gathering,A family gathering on Yalda Night,Expected
Being punctual for appointments,Meeting place,Friends waiting to meet each other,Normal
Resharing official government news or information online,Cyberspace,A government employee sharing news related to their organization on social media,Normal
Wearing very revealing and semi-nude clothing,City street,A foreign woman walking in revealing clothing,Taboo
Groping strangers,City street,A man touching people's bodies on the street,Taboo
Maintaining safety and security around the fire,Celebration venue,A group monitoring safe distance from the fire,Expected
Respecting local cultural traditions of each region,Village,Villagers holding indigenous traditional rituals,Expected
Kissing the hands of elders,Family gathering,Youngsters kiss the hands of elderly family members,Normal
Ensuring minority rights before law,Court,Court case involving ethnic/religious disputes,Expected
Fasting for healthy individuals during Ramadan,Home,A healthy Muslim individual fasting at home during Ramadan,Expected
Wearing appropriate attire in public places,Water park,Families enjoying themselves at a water park,Normal
Complete avoidance of looking/interacting with non-mahrams,Park,A young couple completely avoiding eye contact/interaction in park,Expected
Apologizing for unintentional delay,Dinner party,Dinner party with friends and colleagues,Normal
Respecting the civic rights of others,City street,Drivers obeying traffic laws and pedestrian rights,Expected
Gender discrimination in some environments,Workplace,Job limitations for women and prioritizing men for certain jobs,Expected
Not talking during others' lectures/speeches,University,A professor lecturing in class,Expected
Promoting good and forbidding evil,Public places,People advising each other against sin and corruption,Normal
Gambling and betting games,Coffeehouse,A group of men gambling,Normal
Showing respect to clerics and religious authorities,Mosque,People showing respect to clerics at mosques,Expected
Playing joyful music during Muharram,City street,A group of youth,Taboo
Public displays of sexual behavior,Cinema,A couple engaging in inappropriate sexual behavior at the cinema,Taboo
Stealing antiquities and cultural heritage,Illegal excavation,People illegally excavating and stealing historical artifacts,Taboo
Refraining from interfering in others' private matters,Apartment,Neighbors avoiding intrusion into each other's private lives,Expected
Sharing educational Ramadan fasting content,Ramadan,An educational channel providing useful information about fasting,Expected
Sale of illegal goods in the market,Traditional market,A street vendor selling contraband goods,Taboo
Appreciating the efforts of municipal service workers,City street,Workers cleaning and providing services on the street,Normal
Creating nuisance with stray dogs,Park,People harassing and disturbing stray dogs in a park,Normal
Playing loud disruptive music in public places,Library,In the quiet environment of a library,Taboo
Avoiding speaking loudly in public places,Library,People studying in the library,Expected
Tilee Bazi,Mazandaran,Ceremonies on Chaharshanbe Suri night,Expected
Respecting traditional rituals in religious events,Taziyeh,Artists performing Taziyeh,Expected
Attending illegal music concerts,Music concert,A group of youths attending an illegal music concert,Taboo
Teaching social skills to children,Cultural centers,Holding classes to teach communication and social skills,Expected
Thanking and appreciating guests,Nowruz,Family gathering for New Year's Eve,Expected
Avoiding noise,Subway,Passengers remain quiet,Normal
Avoiding violence toward others,City Street,Two people verbally fighting in the street,Expected
Excessive makeup at the workplace,Workplace,"A female employee wearing heavy, excessive makeup at work",Taboo
Environmental conservation and optimized energy consumption,Home,Families properly using energy and conserving consumption,Normal
Encouraging and supporting youth innovation and creativity,University,Students attending scientific events at the university,Normal
Insulting and desecrating divine religions,Mosque,Someone insulting divine religions inside a mosque,Taboo
Dressing appropriately for the environment,Workplace,In a formal work environment,Expected
Wearing hijab for women in public places,City street,For Muslim women when present on streets and in public places,Normal
Gender segregation at salons,Salon,Separate salons for men and women,Expected
Cleaning and tidying before Nowruz,Home,Preparing the home for welcoming Nowruz,Expected
Introducing close friend to family,Family gathering,A person introducing their close friend to family members at a gathering,Normal
Lack of female representatives in parliament and government,Islamic Consultative Assembly,Absence of female representatives in the composition of parliament,Normal
Caring for elderly/providing proper services,Elderly Home,Visiting and spending time with elderly,Expected
Observing workplace etiquette,Workplace,Colleagues treating each other with mutual respect,Expected
Respecting traffic rules and regulations,City street,Drivers and pedestrians commuting on streets,Expected
Separating men's and women's dining tables at large gatherings,Family gathering,Men's and women's dining tables are separate at large gatherings,Normal
Joking and being humorous,Cafe,In a cafe in the company of friends,Normal
Apostasy or denouncing Islam for Muslims,Hussainiya,An individual renouncing Islam at a Hussainiya,Taboo
Freedom of personal dress/behavior in private spaces,Home,People wearing casual clothes at home,Expected
Observing hijab in public places,University,A student in inappropriate dress walking on campus,Taboo
Learning new skills,Educational institute,Eager students,Normal
Maintaining quietness at the hospital,Hospital,Patients and attendants observing quietness at the hospital,Expected
Preventing wastefulness,Dinner banquet,Host serving sufficient but not excessive food,Expected
Valuing family values,Family party,Members of a family gathered at a party,Expected
Tax evasion by companies,Tax office,Companies evading tax payments to the government,Taboo
Avoiding eating publicly during Ramadan,City street,A person eating on the street during Ramadan,Taboo
Supporting traditional arts/handicrafts,Market,Shopping at traditional/handicraft shops,Expected
Expressing romantic interest and engagement of couples,University,A student couple expressing interest and getting engaged at the university,Normal
Observing guest etiquette,Gathering,Guests do not leave before the host,Normal
Prevalence of fortune-telling among people,Private home,A fortune-teller practicing at a private residence,Normal
Visiting a museum in groups,Museum,A class of students visiting an art museum with their teacher,Expected
Setting the Haft-Seen table for Nowruz,Nowruz,Family setting the Haft-Seen table,Expected
Using vulgar language in conversation,Cinema,Two young friends conversing with vulgar words during the film,Taboo
Mild sexual banter among same-sex friends,Park,Same-sex friends engaging in mild sexual banter,Normal
Respecting teachers and professors,Schools/Universities,Students respect their teachers and professors,Expected
Performing charitable acts in society,Charity,A group of people providing financial and non-financial aid to the needy,Expected
Disrespecting family in the park,Park,Someone disrespecting and misbehaving towards family in a park,Taboo
Cleaning up surroundings,Sizdah Bedar,Families in nature on 13th of Farvardin,Expected
Avoiding disrespect towards the elderly,City street,A youth walking alongside an elderly person,Expected
Begging for money,City street,A person begging on the street,Normal
Providing sexual services for money,City street,A sex worker providing sexual services on the street,Taboo
Not censoring online content,Internet,A user using social media,Normal
Observing social etiquette,Gym,People respecting each other and taking turns using facilities,Expected
Lack of respect for neighbors,Apartment,People disturbing neighbors by making noise,Taboo
Constructive criticism without impudence,Office Meeting,Attending organizational meetings,Expected
Gender segregation in public places,Subway/Bus,For men and women on public transport,Expected
Serving the homeland and preserving national interests,Workplace,Employees faithfully serving national interests,Expected
Extensive body searches at security checkpoints,Airport,Thorough physical body searches conducted at airport entries,Normal
Gender segregation in classrooms,School,Male and female students in the school environment,Expected
Respecting others' beliefs,Religious ceremonies,Different religious groups gathered together,Normal
Wearing traditional clothes,Qashqai tribal festival,Qashqai men and women in traditional attire,Expected
Not allowing women to drive,City street,A woman driving and being objected to by others,Taboo
Providing emergency services at mourning rituals,Mourning procession,A group of paramedics providing services,Normal
Respecting sanctities,Religious places,Pilgrims and worshippers respecting sanctities,Expected
Women dancing,Mosque,A woman dancing inside the mosque premises,Taboo
Patience and perseverance,Queue,People patiently waiting in line,Normal
Teaching digital skills online,Cyberspace,An institute offering online educational courses,Expected
Accountability and responsibility,Office meeting,Employees reporting promptly and accurately,Expected
Observing rights of the disabled,Society,Special facilities provided for disabled accessibility,Normal
Not accepting refusal from the host,Family gathering,Guests do not easily accept the host's refusal to serve them,Normal
Islamic hijab and dress code,Religious places,Women observing hijab at imamzadehs,Expected
Complete nudity on public beaches,Beach,A group of people fully nude at the beach,Taboo
Forced and early marriage of teenage girls,Village,A family marrying off their teenage daughter,Normal
Warm hospitality towards guests,Family party,For host and family at family gatherings,Expected
Wearing inappropriate clothing at school,School,A student in improper attire at school,Taboo
Using respectful language at work,Government office,Employees speaking to each other politely and respectfully,Expected
Avoiding extravagance in spending,Shopping centers,Shoppers avoid unnecessary purchases,Normal
Use of synthetic drugs by youths,Park,A group of youths using synthetic drugs in the park,Taboo
Queuing properly at public transportation,Subway/Bus,Passengers queuing properly to board the subway or bus,Expected
Respecting elders,Gathering,A youth helping an elderly person be seated,Expected
Preserving privacy online,Cyberspace,Users active on social media platforms,Expected
Speaking without permission in office meetings,Office meeting,An employee speaking without permission in a meeting,Taboo
Escorting women to the entrance,Family party,By men for female guests,Expected
Competing in traditional games,Qashqai tribal festival,Qashqai men competing in traditional games like wrestling,Expected
Avoiding unethical industry production/consumption,Cyberspace,Activists combating inappropriate online content,Expected
Wearing inappropriate clothing in public places,City street,A young man wearing inappropriate clothing walking on the street,Taboo
Striving to raise public awareness levels,Library,Reading and utilizing library books,Expected
Participating in charitable/public welfare projects,Charity,Volunteering at charitable organizations,Expected
Respecting traditional customs in marriage ceremonies,Wedding ceremony,A young couple holding their wedding ceremony,Expected
Preparing Haft-Seen spread,Home,Setting the Nowruz Haft-Seen table with 7 items starting with 'seen',Expected
Smoking in indoor spaces,Restaurant,A customer smoking at a restaurant,Taboo
Accepting polygamy by families,Village,A village man with multiple wives in one family,Normal
Chivalry and self-sacrifice,Battlefield,Fighters defending their compatriots,Expected
Free debate and discussion in the university environment,University,Students freely debating and exchanging views,Normal
Encouraging preservation of Iranian culture,Art exhibition,Artworks celebrating traditional Iranian customs,Expected
Paying domestic workers fairly,Workplace,An employer paying a fair wage to their domestic worker,Expected
Avoiding handshakes or embraces with non-mahrams,Workplace,Between male and female colleagues,Normal
Avoiding noise and environmental pollution,Park,Visitors preserving the environment while avoiding noise,Expected
Not yielding to pedestrians,City street,A driver not stopping at a pedestrian crossing,Taboo
Smoking shisha at a coffee house,Coffee house,A group of men smoking shisha at a traditional coffeehouse,Normal
